title,price,my,make,model,body_type,battery,kw,range_km,odo
2021 Kia Niro EV S Auto 2WD MY21,63990,2021,Kia,Niro,SUV,DC150kW,150,455,2050
2021 MINI Hatch Cooper SE Classic Auto,63888,2021,MINI,Hatch,Hatch,DC135kW,135,215,1521
2021 MINI Hatch Cooper SE Classic Auto,63888,2021,MINI,Hatch,Hatch,DC135kW,135,215,3500
2021 MINI Hatch Cooper SE Classic Auto,63785,2021,MINI,Hatch,Hatch,DC135kW,135,215,1511
2021 Kia Niro EV S Auto 2WD MY21,68020,2021,Kia,Niro,SUV,DC150kW,150,455,24
2021 Kia Niro EV S Auto 2WD MY21,63000,2021,Kia,Niro,SUV,DC150kW,150,455,2013
2021 Kia Niro EV Sport Auto 2WD MY21,62990,2021,Kia,Niro,SUV,DC150kW,150,455,2162
2021 MINI Hatch Cooper SE Classic Auto,62900,2021,MINI,Hatch,Hatch,DC135kW,135,215,1550
2020 MINI Hatch Cooper SE First Edition Auto,62889,2020,MINI,Hatch,Hatch,DC135kW,135,270,1578
2020 Nissan LEAF e+ ZE1 Auto,61990,2020,Nissan,LEAF,Hatch,AC160kW,160,270,1341
2021 MINI Hatch Cooper SE Classic Auto,63410,2021,MINI,Hatch,Hatch,DC135kW,135,215,1550
2021 Hyundai Kona electric Elite Auto MY21,61987,2021,Hyundai,Kona,SUV,DC150kW,150,557,2000
2021 MINI Hatch Cooper SE Classic Auto,62990,2021,MINI,Hatch,Hatch,DC135kW,135,215,1550
2021 Nissan LEAF e+ ZE1 Auto,61480,2021,Nissan,LEAF,Hatch,AC160kW,160,450,11
2021 MINI Hatch Cooper SE Classic Auto,61400,2021,MINI,Hatch,Hatch,DC135kW,135,215,1603
2021 Hyundai Kona electric Elite Auto MY21,63999,2021,Hyundai,Kona,SUV,DC150kW,150,557,2620
2021 MINI Hatch Cooper SE Classic Auto,61990,2021,MINI,Hatch,Hatch,DC135kW,135,215,1550
2021 Kia Niro EV S Auto 2WD MY21,63990,2021,Kia,Niro,SUV,DC150kW,150,455,2110
2021 Nissan LEAF e+ ZE1 Auto,59990,2021,Nissan,LEAF,Hatch,AC160kW,160,450,2566
2021 MINI Hatch Cooper SE First Edition Auto,59990,2021,MINI,Hatch,Hatch,DC135kW,135,270,1560
2021 MINI Hatch Cooper SE Classic Auto,59880,2021,MINI,Hatch,Hatch,DC135kW,135,215,1506
2021 MINI Hatch Cooper SE Classic Auto,60900,2021,MINI,Hatch,Hatch,DC135kW,135,215,1780
