title,price,my,make,model,body_type,battery,kw,range_km,odo
2021 Audi e-tron 55 Auto quattro MY21,163916,2021,Audi,e-tron,SUV,AC265kW,265,452,0
2021 Audi e-tron 55 Auto quattro MY21,163916,2021,Audi,e-tron,SUV,AC265kW,265,452,0
2021 Audi e-tron 55 Auto quattro MY21,163916,2021,Audi,e-tron,SUV,AC265kW,265,452,0
2021 Audi e-tron 50 Auto quattro MY21,163597,2021,Audi,e-tron,SUV,AC230kW,230,341,0
2021 Audi e-tron 55 Auto quattro MY22,162135,2021,Audi,e-tron,SUV,AC265kW,265,452,0
2021 Audi e-tron 55 Auto quattro MY21,161466,2021,Audi,e-tron,SUV,AC265kW,265,452,0
2021 BMW iX xDrive40 Sport I20 Auto AWD,159740,2021,BMW,iX,SUV,AC240kW,240,630,0
2021 Jaguar I-PACE EV400 SE Auto AWD MY21,159299,2021,Jaguar,I-PACE,SUV,294kW,294,270,0
2021 Mercedes-Benz EQC EQC400 Electric Art Line Auto 4MATIC,159016,2021,Mercedes-Benz,EQC,SUV,AC300kW,300,434,0
2021 Mercedes-Benz EQC EQC400 Electric Art Line Auto 4MATIC,158271,2021,Mercedes-Benz,EQC,SUV,AC300kW,300,434,0
