title,price,odometer,body,trans,engline,state,seller,state_2,odo_adj,id,seller_ad,state_ad,state_only,price_adj,body_adj,trans_ad,odo_ad,engine_ad
2021 Mazda 3 G20 Touring BP Series Auto,"$34,857 ",Build date Jun 2021,Sedan,Automatic,4cyl 2.0L Petrol,"NSW
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Liverpool Mazda
            ",date,33185,incorrect seller,"NSW
            
            Distance from me?
        ",NSW,34857,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda CX-30 G20 Evolve DM Series Auto,"$34,880 ",Build date Jul 2021,SUV,Automatic,4cyl 2.0L Petrol,"SA
            
            Distance from me?
        ","Private Seller Car

","
                VIC - Penfold Mazda
            ",date,33187,incorrect seller,"SA
            
            Distance from me?
        ",SA,34880,SUV,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G25 Evolve BP Series Manual,"$34,888 ",Build date Jul 2021,Hatch,Manual,4cyl 2.5L Petrol,"QLD
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Rockdale Mazda
            ",date,33191,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,34888,Hatch,Manual,0,4cyl 2.5L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,888 ",Build date May 2021,Hatch,Automatic,4cyl 2.0L Petrol,"QLD
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - Rockdale Mazda
            ",date,33192,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,34888,Hatch,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,888 ",Build date Jun 2021,Sedan,Automatic,4cyl 2.0L Petrol,"QLD
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Penrith Mazda
            ",date,33193,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,34888,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,890 ",Build date May 2021,Hatch,Automatic,4cyl 2.0L Petrol,"QLD
            
            Distance from me?
        ","Dealer Used Car

","
                NSW - Patrick Auto Group New Cars
            ",date,33194,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,34890,Hatch,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,890 ",Build date May 2021,Hatch,Automatic,4cyl 2.0L Petrol,"QLD
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Penrith Mazda
            ",date,33195,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,34890,Hatch,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,910 ",Build date Apr 2021,Sedan,Automatic,4cyl 2.0L Petrol,"QLD
            
            Distance from me?
        ","Private Seller Car

","
                ACT - Rolfe Mazda
            ",date,33197,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,34910,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,913 ",Build date Apr 2021,Sedan,Automatic,4cyl 2.0L Petrol,"QLD
            
            Distance from me?
        ","Private Seller Car

","
                ACT - Rolfe Mazda
            ",date,33198,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,34913,Sedan,Automatic,0,4cyl 2.0L Petrol
2021 Mazda 3 G20 Touring BP Series Auto,"$34,913 ",Build date May 2021,Hatch,Automatic,4cyl 2.0L Petrol,"QLD
            
            Distance from me?
        ","Private Seller Car

","
                NSW - Liverpool Mazda
            ",date,33199,incorrect seller,"QLD
            
            Distance from me?
        ",QLD,34913,Hatch,Automatic,0,4cyl 2.0L Petrol
